LamA/C siRNA,LamA/C  overexpressed,WT
3.048080444,38.20726109,18.59009933
3.831710815,24.05661201,14.73530579
4.06629467,33.90093708,19.95189285
3.429876328,50.72790623,21.67489243
1.983107567,26.34651279,27.57712555
3.163210869,28.16755867,19.21859741
4.588702202,57.06924629,11.25
2.172423363,37.74465561,16.78956604
4.845277786,26.49238205,16.08882523
1.288253784,25.62776184,25.62776184
1.189024925,33.68267536,20.1686182
1.340612411,25.09160805,20.43444538
4.179153442,29.66182423,24.29166317
2.830510139,28.64660072,20.17594814
5.572323799,26.77979279,14.80452347
5.650379181,24.01608849,17.28619576
5.587030411,38.54225063,27.10892963
3.410731316,26.34651279,23.19865799
2.970765114,28.16755867,16.75312328
4.631653786,33.45667,17.60105801
3.301174164,42.354656,29.76303101
9.78,40.875642,12.42459393
10.21,25.32165146,16.16612911
11.35,,11.3945322
13.78,,14.36635017
7.88,,21.50065899
,,16.99111366
,,14.05661201
,,20.28161812
,,25.09160805
,,29.66182423
,,28.64660072
,,26.77979279
