PDMS,PAA,PDMS,PDMS,PAA,PDMS,PDMS,PAA,PAA,PDMS,PAA
0.3,1,2,5,5,12,18,21,30,50,50
0.7,0.771069,1.098814,1.662137,1.282279,0.765276,1.442163,1.111771,0.959936,0.983341,1.805335
0.794018,0.845187,1.132699,1.67142,1.377585,0.812225,1.61352,1.036435,1.193105,0.900511,1.713297
0.8,0.807314,1.88,1.683275,1.399447,1.881753,1.505804,1.023194,1.233892,1.465195,1.794225
1.408435,0.78136,1.010977,1.730925,1.385799,1.742433,1.756954,1.010707,1.243665,1.253762,1.655642
1.045572,0.763707,1.090397,1.841375,1.322112,1.27,1.017796,1.015617,1.423859,1.3,1.732998
1.043603,0.754884,1.92,0.744755,1.25694,1.44,1.044967,1.101838,0.785988,0.6255,1.608272
1.622109,0.590241,0.927051,1.046276,1.273895,1.1,1.049782,1.060393,1.400287,1.35,1.537866
0.949427,0.74348,0.959615,0.811635,1.4786,1.75498,1.036683,1.077737,1.230882,1.214903,1.630373
0.709306,0.720395,1.023664,1.397805,1.02837,0.7,1.06507,1.081432,1.353428,1.003832,1.53473
1.495431,0.674016,1.057003,1.354614,1.164226,1.616185,1.038231,1.11102,1.068641,1.213976,1.44715
1.410544,0.98,1.317862,1.57,1.12314,1.75498,1.066344,1.212428,1.968341,0.87984,1.497286
0.902107,0.78,1.503503,1.33,1.147001,1.887008,1.278744,1.143228,1.057562,1.299064,1.376331
1.191392,0.9476,0.927051,1.531488,1.050246,1.742433,1.300045,1.326142,1.566191,1.740319,1.178444
1.3,0.87354,0.959615,1.609443,1.117749,0.872716,1.238328,1.286727,1.072592,1.171184,1.042772
1.459395,0.684305,1.023664,1.44,1.069866,0.87,0.891541,1.278952,1.141769,1.150568,1.186435
1.775363,0.88,1.566419,1.608392,1.009903,0.7,0.792431,1.337981,,1.304807,1.345205
1.042032,0.78465,1.068576,0.927065,1.045925,1.177,1.113931,1.356274,,1.078237,1.249071
